description,grade,name,tags
"(None,)",5.7 WI4,"Kill Keisha, Kill, Kill",Ice
"(None,)",M4,Compound Succor,Ice
"(None,)",WI4 M4,4x4,Ice
"(None,)",WI3,French Kiss,Ice
"(None,)",WI3+,Quick and Dirty,Ice
"(None,)",5.6 WI5,The Deviant,Ice
"(None,)",M4,Fat Lout,Ice
"(None,)",M6,Rainbow Peace Caravan,Ice
"This problem is found at the far left
side of the ‘Ninja Turtle’ slab, left of the small spruce
tree. Climb the slab, then a short lip traverse to top
out.",V0,April,Boulder
"Climb up right of the small
tree (and a bit right of the crack) on the ‘Ninja Turtle’
slab. This problem on the left side of the slab is
arguably the best of the 'Ninja Turtle’ problems.",V2,Donatello,Boulder
"Essentially the middle of the
'Ninja Turtle’ slab, this problem climbs up the relatively
blank slab about a meter or so left of the broken juggy
rib/groove.",V1,Leonardo,Boulder
"The broken juggy rib/groove.
The easiest of the ‘Ninja Turtle’ slab problems.",V0-,Splinter,Boulder
"The fun but tricky slab to the
right of Splinter.",V1,Raphael,Boulder
"The somewhat
nebulously defined slab to the right of Raphael.",V1,Michaelangelo,Boulder
"The rightmost of all the 'Ninja
Turtle’ slab problems, just left of the blunt arête on the
right side of the slab. Short but tricky, avoid bailing out
to the right.",V1,Casey Jones,Boulder
"This fun vertical
problem starts just left of the tree on the backside of
the Ninja Turtle Boulder. Solid rock, and a great flat
landing.",V4,Rock Steady,Boulder
"Start low on obvious blocky ledge hold, traverse positive holds up and left towards the arête, mantle above.",V3, Galactic,Boulder
"Climb straight up on good holds to join the end of Plan 66. Great line, bad landing.",V0,Outer Rim,Boulder
"Start in the alcove between the two boulders. Start with one hand on the big flat ledge, and use trickery to gain better holds above.",V1,Press Start,Boulder
Start on the lip on the right side near the other boulder. Traverse left to the center of the boulder and top out.,V3,Goon,Boulder
"Sit start just left of the big crack. Follow the arete up, avoiding using the big crack.",V2/3,Origins,Boulder
Climb up the big crack and top out,V0, Crack Attack,Boulder
"Sit start left on the left side of the roof matched on a sidepull. Make your way right under the roof. After getting up on the face to the right of the roof, go directly up using the arete.",V5, Healing Arete,Boulder
