,Grade,Name,Tags
0,5.7,★★ Sport 400,
1,,Trad Sale,
2,5.10a,★★ Petit pied,
3,5.11b,★★ Crever la dalle,
4,5.11+,Les Arches,
5,5.9,★ Les Arches faciles,
6,5.9,5.95,
7,5.11c,Fruit d'homme,
8,5.11b,La Poule,
9,5.10+,Jambe Gauche,
10,5.10b/c,Hanche Gauche,
11,5.12-,La Rondeur,Sport
12,5.10c,Le Slip,Trad
13,5.12a/b,Jambe droite,Sport
14,5.12d/13a,Abominable,Sport
15,5.12d,Sasquash,Sport
16,5.12a,Propriété Privée,Sport
17,5.12c,Photogénie,Sport
18,5.10-,Unknown,Sport
19,5.9,Nagasaki,Sport
20,5.9,Tangente,Sport
21,5.10+ C1,Le dernier ronin,Sport
22,,Cosinus,Sport
23,5.7,Sinus,Sport
24,5.11c,Stimulation Colorectale,Sport
25,5.11c,★★★ Stimulateur Cardiaque,Sport
26,5.8,★★★ Hals-und Beinbruch,Sport
27,5.10b,Rencontre,Sport
28,5.7 PG,Gettapo,Sport
29,5.6,Banana Split,Sport
30,5.10b,Al dente,Trad
31,5.9,Andante,Trad
32,5.7 R,La chochotte,Trad
33,5.7,All Fine,Trad
34,5.8,Velerie Reverie,Trad
35,5.10,Harmonie Interieure,Trad
36,5.10b PG,Lido,Trad
37,5.11d PG,Le Mirroir du nord,Trad
38,5.10c,Le Bras Canadienne,Trad
39,5.10b A2,Creve Salope,Trad
40,5.12a,Mechant Boris,Trad
41,5.11c,Chinook,Trad
42,5.8 A1,Campanule,Trad
43,5.10a,L'entrechat,Trad
44,5.6,Panoramique,Trad
45,Class 4,L'arete,Trad
46,5.6,L'Arete sud,Trad
47,5.7,★★★ La Directe de l'ours,Trad
48,5.8,★★★ Pinocchio,Trad
49,5.11d,Les Aventures du Racoon Perdu,Trad
50,5.7,★★★ Puf! Puf! Puf!,Trad
51,5.8,Le Blues de la brosse a dents,Trad
52,5.8,Fantaisie Spatiale,Trad
53,5.9,Aero,Trad
54,5.8,★★ Astro,Trad
55,5.8,Little Monkey Banana,Trad
56,5.10a PG,Vie avenir,Trad
57,5.12a PG,Libre a toi,Trad
58,5.12c PG,La Voie Lactee,Trad
59,5.10d,Le Paradoxe des formes,Trad
60,5.10d PG,Yahaka,Trad
61,5.12c,Astral,Trad
62,5.13b,La Bibitte,Trad
63,5.13d,Le Cormoran,Trad
64,5.12a G,Le baiser de l'homme araignee,Trad
65,5.10b PG,Eclipse,Trad
66,5.10c G,King Can,Trad
67,5.9 PG,La vache folle,Mixed trad
68,5.9,"Araignee du soir, espoir",Trad
69,5.7,Zone Z G,Mixed trad
70,5.7 G,Derobade,Sport
71,5.11d PG,Air Voyageur,Trad
72,5.9,★★★ Gruyere,Sport
73,5.11d,Jeux sans frontieres,Sport
74,5.6,5 a 7,Sport
75,5.7 G,Terrasse a Lino,Trad
76,5.4 PG,La petite ecole,Trad
77,5.10d PG,Torteuils ninja,Trad
78,5.6 G,Frimousse,Trad
79,5.6 G,Choupette,Trad
80,5.9 PG,Chapiteau,Trad
81,5.10b PG,Point G,Trad
82,5.7,Le diedral,Trad
83,5.9 G,★★★ Wet Dreams,Trad
84,5.7,Day Dreams,Trad
85,5.12b PG,Raz de Maree,Trad
86,5.9 PG,Maree Montante,Trad
87,5.8 PG,Venus,Trad
88,5.11d PG,Nouvelle Vague,Trad
89,5.10a PG,Perdu dans l'espace,Trad
90,5.7 G,★★★ Gaston Boston,Trad
91,5.8,★ L'attente,Trad
92,5.10c,Crazy Carpet,Trad
93,5.8 G,★ Patinoire,Trad
94,5.8 PG,Snowmobile,Trad
95,5.10a G,Jeu du gear,Trad
96,5.8 PG,★★ Au bouleau mon homme,Trad
97,5.7 G,★★ Voie d'evitement,Trad
98,5.11a,Fun noir,Trad
99,5.9 X,Variante du capitaine,Trad
100,5.10 PG,★★★ Tache blanche,
101,5.7 G,★★★ Voie de Rappel,
102,5.7 PG,Onglee,
